ticker,company,sector,price,mktcap_bn,score,tier,accruals,cash_conv,fcf_conv,gross_margin,net_margin,roa,de
LIN,Linde plc,Process Industries,546.64,252.875407199,81.3,Excellent,-4.09,1.51,0.74,37.7896407444813,20.4357235608137,8.38012294475769,0.6823886324742
CPAY,"Corpay, Inc.",Commercial Services,352.46,23.03746021,81.3,Excellent,-1.68,1.42,1.22,72.8076019451795,24.5349072260246,5.19183934910137,2.95164164953529
PH,Parker-Hannifin Corporation,Producer Manufacturing,962.89,121.407323636,81.2,Excellent,-1.84,1.16,1.04,37.4385476723686,16.5816934292657,11.6784778137782,0.655897049763844
MSI,"Motorola Solutions, Inc.",Electronic Technology,422.66,70.159690317,81.2,Excellent,-3.27,1.29,1.16,49.0731378496798,17.6103808560836,12.4727717602125,3.76926100628931
MDLN,Medline Inc.,Health Technology,43.19,56.73819061099999,81.0,Excellent,-0.93,1.31,0.9,23.4385724090597,3.31503088538092,,1.12109652235628
FOX,Fox Corporation,Consumer Services,50.56,22.411066631999997,80.9,Excellent,-1.62,1.16,0.94,34.3682488735263,10.5610764767607,7.579180509413071,0.690491384811742
SCHW,Charles Schwab Corporation (The),Finance,97.0,168.696143311,80.8,Excellent,-0.3,1.17,1.1,84.1235657546337,33.2639011473963,1.9706720824243702,0.669699800950563
MTB,M&T Bank Corporation,Finance,238.88,34.98279864500001,80.8,Excellent,-0.39,1.3,1.22,,22.1347464042392,1.37581547886519,0.68018018018018
WMT,Walmart Inc.,Retail Trade,111.84,890.031537575,80.7,Excellent,-6.56,1.87,0.57,24.976389243146,3.1346812720166,8.2379945613873,0.786377610516273
RJF,"Raymond James Financial, Inc.",Finance,162.66,31.699673742999995,80.7,Excellent,-0.31,1.13,1.04,87.6869965477561,12.991339107261798,2.45036441316914,0.470677170366834
XOM,ExxonMobil Holdings Corporation,Energy Minerals,137.09,568.163398421,80.6,Excellent,-4.06,1.65,0.65,20.9240747713498,7.68665508739114,5.52515611392551,0.18736069124659502
KLAC,KLA Corporation,Electronic Technology,235.55,307.693143494,80.6,Excellent,-2.01,1.08,0.99,59.914137609754306,35.6777932108349,29.1347197922813,1.05400313352468
DAL,"Delta Air Lines, Inc.",Transportation,92.75,60.936223526,80.5,Excellent,-4.02,1.68,0.78,16.9305593912056,6.86888213814477,5.5349162097507,0.996221044365921
